# fofid            subhaloid        galaxyid        x            y            z           redshift      velx          vely          velz          g_sdss        r_sdss        i_sdss       
  62000600000000   62000600000000   6000033002893   2.6860945    1.1614069    40.206234   0.019932542   -704.1411     210.32567     -160.33498    -16.470716    -17.16911     -17.482725   
  62000600000000   62000600000000   6000033002004   1.9815127    0.83191544   40.121246   0.019932542   -85.00791     325.7074      110.26231     -14.944297    -15.449386    -15.6745405  
  62000300000028   62000300000609   3000069002118   55.96379     10.527134    28.501253   0.019932542   -439.79666    -113.79792    375.5678      -17.368933    -18.139118    -18.48588    
  62000300000000   62000300000000   3000042006651   44.817986    14.9905205   14.388157   0.019932542   40.070724     395.82224     605.254       -15.081378    -15.815315    -16.147663   
  62000300000000   62000300000000   3000042004257   44.12991     14.638912    13.654843   0.019932542   -507.37704    1140.5665     417.2052      -17.979332    -18.785385    -19.15299    
  62000300000000   62000300000000   3000042003841   44.004105    14.787462    13.661363   0.019932542   590.1506      -582.74445    1006.3447     99.0          99.0          99.0         
  62000300000000   62000300000000   3000042003401   44.36031     13.849863    14.468479   0.019932542   -576.91406    559.04767     -179.11528    -14.444316    -14.915572    -15.127607   
  62000300000000   62000300000000   3000042002948   43.91153     13.915682    13.200727   0.019932542   22.525282     191.49486     319.33084     -14.261457    -14.892528    -15.169561   
  62000300000000   62000300000000   3000042002482   43.96263     15.085951    13.887379   0.019932542   -8.633237     362.8483      477.913       -16.600073    -17.338758    -17.672653   
  62000300000000   62000300000000   3000042002022   43.958626    14.787907    13.668999   0.019932542   498.58554     956.6693      -734.0193     -14.372897    -15.127466    -15.475253   
  62000000000003   62000000000090   3004460         9.716904     30.386824    23.470583   0.019932542   -425.06488    314.3145      -29.536789    -18.102356    -18.842459    -19.175226   
  62000500000008   62000500000242   5000055002782   51.217278    61.47054     45.219532   0.019932542   110.994354    45.187782     165.18384     -14.470539    -14.712063    -14.823129   
  62000300000019   62000300000508   3000060001745   54.817722    7.846304     29.018343   0.019932542   -67.70249     301.01685     719.32733     -17.742407    -18.52242     -18.875824   
  62000300000019   62000300000508   3000060001298   54.71592     7.9020295    28.992498   0.019932542   181.4426      -234.14424    660.7948      -14.62416     -15.244152    -15.515019   
  62000200000003   62000200000189   2000023005150   54.595898    49.658268    28.018677   0.019932542   -404.6027     350.80264     -497.749      -17.960854    -18.620642    -18.92371    
  62000200000003   62000200000189   2000023004518   54.226715    50.364197    27.881489   0.019932542   -22.896067    -87.891495    -52.592842    -18.390976    -19.193329    -19.555307   
  62000200000003   62000200000189   2000023003998   54.57677     49.879642    27.788366   0.019932542   -219.90112    699.4505      -16.97638     -18.455757    -19.2515      -19.612864   
  62000200000003   62000200000189   2000023003618   54.427105    50.01412     27.714806   0.019932542   -554.4959     -854.2834     -168.98842    -14.780338    -15.540901    -15.886882   
  62000200000003   62000200000189   2000023003036   54.378258    50.100746    27.799994   0.019932542   -14.27628     42.20707      90.36995      -18.023657    -18.848516    -19.23407    
  62000200000003   62000200000189   2000023002530   54.422123    50.09878     27.769068   0.019932542   -670.4948     -23.180641    -535.77386    -15.856429    -16.643532    -17.00295    
  62000200000003   62000200000189   2000023002065   54.47761     49.874065    27.72383    0.019932542   72.11121      247.72255     -82.00841     -15.647509    -16.406845    -16.75305    
  62000200000003   62000200000189   2000023001578   54.562943    50.019268    27.745192   0.019932542   -40.73891     584.929       390.76486     -15.92771     -16.691383    -17.041012   
  62000200000003   62000200000189   2000023001092   54.528664    50.10168     27.5348     0.019932542   -316.10422    176.66116     132.5855      -14.122602    -14.96237     -15.3701515  
  62000300000000   62000300000000   3000042007437   42.897762    15.926175    13.342466   0.019932542   -23.95877     618.34436     133.1548      -15.073489    -15.767738    -16.08099    
  62000500000002   62000500000111   5000049003514   35.099167    56.84022     41.16569    0.019932542   151.33362     423.86383     52.463085     -14.28357     -15.019765    -15.358906   
  62000300000022   62000300000538   3000065001122   41.55171     19.749886    2.187061    0.019932542   270.46768     -410.70618    605.07404     -14.143777    -14.592368    -14.794067   
  62000300000022   62000300000538   3000065000599   41.41206     20.635775    1.9311769   0.019932542   -231.5054     294.2709      356.2732      -14.215301    -14.87037     -15.158189   
  62000400000000   62000400000021   4000014014253   58.71678     13.133444    33.48274    0.019932542   533.9517      -1266.5023    315.96848     -18.779366    -19.560318    -19.911777   
  62000200000008   62000200000304   2000027003334   50.0301      33.849823    9.578562    0.019932542   255.42511     295.51596     86.002914     -16.964605    -17.764816    -18.128971   
  62000200000006   62000200000272   2000026004036   59.43015     40.42028     14.418235   0.019932542   -32.457565    337.64233     -343.15613    99.0          99.0          99.0         
  62000100000001   62000100000086   1000020007297   61.679012    57.122665    5.703219    0.019932542   -568.87036    294.46606     -343.81424    -15.364227    -15.750133    -15.924679   
  62000100000001   62000100000086   1000020006875   62.030964    56.825016    6.562618    0.019932542   -152.87724    243.874       263.44193     -14.605691    -15.299011    -15.611569   
  62000100000001   62000100000086   1000020006400   61.64802     57.353283    5.913628    0.019932542   -905.79285    238.88968     -170.6042     99.0          99.0          99.0         
  62000100000001   62000100000086   1000020005982   62.125877    56.94128     6.5958705   0.019932542   435.42966     -90.613365    508.84824     -17.07358     -17.865585    -18.235815   
